porometer
dpressure,0.0,0.4561684596017395,0.9279774166475929,1.179293507286183,1.3828488593881132,1.5023270008392462,1.5850308995193407,1.6437018387121385,1.7046616311894407,1.7453269245441367,1.7856107423514154,1.863431754024567,1.976882581826505,2.0975051499198902,2.2284275577935455,2.3646906233310445,2.520485236896315,2.698176546883345,2.884336614023041,3.06157015335317,3.241626611734188,3.414816510261692,3.5828946364538035,3.772106507972839,3.947890440222782,4.115053025101091,4.297856107423514,4.478675516899367,4.86152437628748,5.041580834668498,5.235370412756542,5.41542687113756,5.619897764553292,5.831998168917372,6.031891355764095,6.247043564507515,6.436255436026551,6.642252231631953,6.877241168841078,7.069504844739452,7.264820325017166,7.50591287098497,7.713435568780041,7.916380560006104,8.160524910353246,8.368047608148318,8.61219195849546,8.87464713511864,9.059281300068665,9.329365987640193,9.546044098573281,9.77035172045472,9.988555733577478,10.23422598611429,10.4097047379263,10.681315327687495,10.885786221103228,11.134508278019378,11.326771953917754
psd,0,0.0,0.0,0.0,0.0,15.7857,34.5171,110.0315,58.3656,142.5287,141.1046,2.668,59.2601,67.0798,53.6915,58.6858,49.7735,35.2737,36.1182,24.6818,24.2914,35.5122,44.5165,35.5601,58.1364,17.4415,40.2014,41.4553,21.5249,3.2823,22.6519,3.1496,26.2423,6.4849,4.1395,33.6667,0.284,11.2943,1.5825,4.7143,20.764,3.8684,2.5595,18.4027,0.7534,11.7156,13.228,6.2865,5.9034,14.3559,2.8146,5.4067,4.9554,0.3931,21.8168,179.1608
darcy avg,48977.2
p1,0.0,0.039749752040894176,0.0601205462729839,0.07988097962920576,0.09567406729228656,0.10818646524757763,0.11841000991836423,0.12909132524605174,0.13611047531853207,0.14091706721599145,0.1450370031280995
wpressure,1.283588921950103,1.5368123903257802,1.7892729076066225,1.9630731670099946,2.0471503776607918,2.1043717097734036,2.140077821011673,2.1680018310826275,2.191958495460441,2.2126344701304648,2.234378576333257,2.3227283131151295,2.4350347142748148,2.5734340428778517,2.7389944304570077,2.9205004959182115,3.1049820706492715,3.2932021057450216,3.468757152666514,3.649958037689784,3.829404135194934,3.9991607537956817,4.1633478294041355,4.355382619974059,4.527733272297246,4.8950942244602125,5.082780193789578,5.256733043411917,5.452048523689632,5.659571221484703,5.851834897383077,6.066987106126497,6.251621271076524,6.469825284199283,6.69718471046006,6.8863965819790955,7.106126497291523,7.304493781948577,7.516594186312657,7.748531319142443,7.957579919127184,8.192568856336308,8.427557793545434,8.645761806668192,8.877698939497979,9.12489509422446,9.347676813916229,9.581139848935683,9.805447470817121,10.041962310215915,10.252536812390327,10.470740825513085,10.708781567101548,10.939192797741665,11.155870908674753,11.401541161211567
p2,0.039749752040894176,0.0601205462729839,0.07988097962920576,0.09567406729228656,0.10818646524757763,0.11841000991836423,0.12909132524605174,0.13611047531853207,0.14091706721599145,0.1450370031280995,0.1454947737850004
bpressure,0.1409
fluidname,Galwick 
duration,0:6:1
meand,2.6789
crosssection,Circular
pg2value,100
diameter,5.7491,4.8018,4.1243,3.7592,3.6048,3.5068,3.4482,3.4038,3.3666,3.3352,3.3027,3.1771,3.0306,2.8676,2.6942,2.5268,2.3767,2.2408,2.1274,2.0218,1.9271,1.8453,1.7725,1.6943,1.6298,1.5075,1.4519,1.4038,1.3535,1.3039,1.2611,1.2163,1.1804,1.1406,1.1019,1.0716,1.0385,1.0103,0.9818,0.9524,0.9274,0.9008,0.8756,0.8535,0.8312,0.8087,0.7894,0.7702,0.7526,0.7349,0.7198,0.7048,0.6891,0.6746,0.6615,0.6472
