bubblepoint
testname,bubblepoint
bpressure,2.28
bdiameter,3.06
sample,AUTOCAL 0.22
samplediameter,2.3
thikness,0.2
fluidname,Porewick
fluidvalue,16.0
thresold,5000
duration,0 min:53 sec
durationsecond,53
testtime,16:18:12
testdate,13/09/2021
customerid,N0048
indistry,Filtration
application,water filter
materialclassification,Fibrous
crosssection,Triangular
materialtype,Hydrophobic
tfact,0.75
splate,Small
flow,45.25520714122225,45.29640650034333,45.33150225070573,45.360494392309455,45.38185702296483,45.406271457999544,45.42305638208591,45.442893110551616,45.45815213244831,45.47188525215534,45.48104066529336,45.49477378500038,45.50545510032807,45.51613641565576,45.52071412222477,45.532921339742124,45.5390249485008,45.54818036163882,45.5542839703975,45.56038757915618,45.56343938353552,45.571068894483865,45.577172503242544,45.58785381857023,45.568017090104526,45.54360265506981,45.528343633173115,45.52224002441444,45.52224002441444,45.51766231784543,45.5191882200351,45.52224002441444,45.523765926604106,45.525291828793776
Dt,20.104,1.018,1.02,1.038,1.02,1.024,1.02,1.021,1.021,1.021,1.021,1.021,1.021,1.02,1.023,1.02,1.019,1.038,1.021,1.022,1.021,1.02,1.022,1.021,1.022,1.021,1.02,1.02,1.021,1.022,1.022,1.034,1.023,1.023
p1,0.0,0.5030746929121843,0.5853208209353777,0.6709239337758461,0.7531700617990396,0.8370946822308696,0.919340810254063,1.003265430685893,1.087190051117723,1.1694361791409182,1.2550392919813849,1.3372854200045783,1.4212100404364083,1.5034561684596017,1.5873807888914317,1.6713054093232618,1.7535515373464552,1.8357976653696486,1.9180437933928456,2.0019684138246756,2.0858930342565056,2.168139162279699,2.2503852903028925,2.3208819714656297,2.3460593575951787,2.3427023727779055,2.332631418326086,2.3225604638742663,2.3091325246051735,2.3007400625619905,2.290669108110171,2.282276646066988,2.2755626764324415,2.268848706797895
p2,0.5030746929121843,0.5853208209353777,0.6709239337758461,0.7531700617990396,0.8370946822308696,0.919340810254063,1.003265430685893,1.087190051117723,1.1694361791409182,1.2550392919813849,1.3372854200045783,1.4212100404364083,1.5034561684596017,1.5873807888914317,1.6713054093232618,1.7535515373464552,1.8357976653696486,1.9180437933928456,2.0019684138246756,2.0858930342565056,2.168139162279699,2.2503852903028925,2.3208819714656297,2.3460593575951787,2.3427023727779055,2.332631418326086,2.3225604638742663,2.3091325246051735,2.3007400625619905,2.290669108110171,2.282276646066988,2.2755626764324415,2.268848706797895,2.2638132295719853
Dp,0.5030746929121843,0.08224612802319342,0.0856031128404684,0.08224612802319342,0.08392462043183002,0.08224612802319342,0.08392462043183002,0.08392462043183002,0.0822461280231952,0.08560311284046662,0.08224612802319342,0.08392462043183002,0.08224612802319342,0.08392462043183002,0.08392462043183002,0.08224612802319342,0.08224612802319342,0.08224612802319697,0.08392462043183002,0.08392462043183002,0.08224612802319342,0.08224612802319342,0.07049668116273722,0.025177386129549006,0.003356984817273201,0.010070954451819603,0.010070954451819603,0.013427939269092803,0.008392462043183002,0.010070954451819603,0.008392462043183002,0.006713969634546402,0.006713969634546402,0.005035477225909801
ans,1808.500203221208,560.6554730983323,540.1454545454453,572.47914656772,551.5603636363657,565.3277922077942,552.061090909093,552.8436545454565,564.3156029684499,542.349376114084,564.5997402597422,553.4748181818202,564.9028200371077,553.1923636363657,554.8752000000019,564.6901669758834,564.2121706864583,574.8478664192722,554.1988000000019,554.8159272727293,565.6226345083508,565.1632653061246,660.7384848484872,1848.690666666673,13872.72090909096,4617.24045454547,4611.172727272744,3457.915909090922,5538.089636363656,4619.13030303032,5543.142181818202,7010.755000000025,6936.405000000024,9248.850000000031
t,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0
