bubblepoint
testname,bubblepoint
bpressure,1.94
bdiameter,3.59
sample,AUTOCAL 2
samplediameter,2.3
thikness,0.2
fluidname,Porewick
fluidvalue,16.0
thresold,5000
duration,0 min:42 sec
durationsecond,42
testtime,15:52:12
testdate,13/09/2021
customerid,N0048
indistry,Filtration
application,water filter
materialclassification,Fibrous
crosssection,Circular
materialtype,Hydrophilic
tfact,0.75
splate,Medium
flow,45.30708781567102,45.33913176165408,45.366598001068134,45.39253833829252,45.41237506675822,45.42915999084459,45.448996719310294,45.46272983901732,45.47493705653468,45.487144274052035,45.49629968719005,45.51003280689708,45.5191882200351,45.528343633173115,45.53749904631113,45.54665445944915,45.55123216601816,45.56496528572519,45.577172503242544,45.53749904631113,45.526817730983446,45.523765926604106
Dt,20.102,1.022,1.02,1.035,1.022,1.021,1.021,1.021,1.021,1.021,1.021,1.021,1.02,1.022,1.022,1.02,1.02,1.037,1.021,1.021,1.021,1.021
p1,0.0,0.5248950942244601,0.6088197146562901,0.6927443350881219,0.776668955519952,0.860593575951782,0.944518196383612,1.0301213092240786,1.112367437247272,1.1979705500877404,1.2818951705195705,1.3658197909514005,1.4514229037918671,1.5353475242236971,1.6192721446555272,1.7015182726787206,1.7854428931105506,1.867689021133744,1.9264362554360286,1.941542687113758,1.9381857022964848,1.9365072098878482
p2,0.5248950942244601,0.6088197146562901,0.6927443350881219,0.776668955519952,0.860593575951782,0.944518196383612,1.0301213092240786,1.112367437247272,1.1979705500877404,1.2818951705195705,1.3658197909514005,1.4514229037918671,1.5353475242236971,1.6192721446555272,1.7015182726787206,1.7854428931105506,1.867689021133744,1.9264362554360286,1.941542687113758,1.9381857022964848,1.9365072098878482,1.933150225070575
Dp,0.5248950942244601,0.08392462043183002,0.0839246204318318,0.08392462043183002,0.08392462043183002,0.08392462043183002,0.08560311284046662,0.08224612802319342,0.0856031128404684,0.08392462043183002,0.08392462043183002,0.08560311284046662,0.08392462043183002,0.08392462043183002,0.08224612802319342,0.08392462043183002,0.08224612802319342,0.05874723430228457,0.015106431677729404,0.003356984817273201,0.0016784924086366004,0.003356984817273201
ans,1735.1335329515398,552.1215636363656,551.3749090908995,559.8032727272747,553.0134909090929,552.6765818181838,542.0763814616774,564.3724304267181,542.3857754010602,553.3820000000019,553.4933818181837,542.8043672014279,553.2294545454566,554.4257090909111,565.8542857142878,553.5632727272748,564.9172541743991,804.3079740259282,3080.429191919203,13849.865000000049,27693.23272727282,13845.68818181823
t,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0
