bubblepoint
testname,bubblepoint
bpressure,0.19
bdiameter,7.63
sample,mysanple
samplediameter,1.0
thikness,1
fluidname,Mineral Oil
fluidvalue,34.7
thresold,111
duration,0:0:12
durationsecond,12
testtime,12:19:16
testdate,22/07/2019
customerid,N0048
indistry,Textile
application,Geotextiles
materialclassification,
crosssection,Eliptical
materialtype,Hydrophobic
tfact,0.1
splate,Small
flow,68.86701762417029,69.2637521934844,69.44533455405508,69.54146639200427
Dt,1.199,1.184,1.2,1.199
p1,0.272831311512932,0.10719462882429236,0.18989852750438696,0.2724498359655146
p2,0.10719462882429236,0.18989852750438696,0.2724498359655146,0.35461966887922486
Dp,-0.16563668268863962,0.0827038986800946,0.08255130846112763,0.08216983291371027
ans,-498.51006909258416,991.5890774907748,1009.4861367837339,1014.7302878365825
t,8.0,9.0,10.0,12.0
